"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"S1101_C01_001E","Total!!Estimate!!Total households"
"S1101_C01_001M","Total!!Margin of Error!!Total households"
"S1101_C02_001E","Married-couple family household!!Estimate!!Total households"
"S1101_C02_001M","Married-couple family household!!Margin of Error!!Total households"
"S1101_C03_001E","Male householder, no wife present, family household!!Estimate!!Total households"
"S1101_C03_001M","Male householder, no wife present, family household!!Margin of Error!!Total households"
"S1101_C04_001E","Female householder, no husband present, family household!!Estimate!!Total households"
"S1101_C04_001M","Female householder, no husband present, family household!!Margin of Error!!Total households"
"S1101_C05_001E","Nonfamily household!!Estimate!!Total households"
"S1101_C05_001M","Nonfamily household!!Margin of Error!!Total households"
"S1101_C01_002E","Total!!Estimate!!Average household size"
"S1101_C01_002M","Total!!Margin of Error!!Average household size"
"S1101_C02_002E","Married-couple family household!!Estimate!!Average household size"
"S1101_C02_002M","Married-couple family household!!Margin of Error!!Average household size"
"S1101_C03_002E","Male householder, no wife present, family household!!Estimate!!Average household size"
"S1101_C03_002M","Male householder, no wife present, family household!!Margin of Error!!Average household size"
"S1101_C04_002E","Female householder, no husband present, family household!!Estimate!!Average household size"
"S1101_C04_002M","Female householder, no husband present, family household!!Margin of Error!!Average household size"
"S1101_C05_002E","Nonfamily household!!Estimate!!Average household size"
"S1101_C05_002M","Nonfamily household!!Margin of Error!!Average household size"
"S1101_C01_003E","Total!!Estimate!!FAMILIES!!Total families"
"S1101_C01_003M","Total!!Margin of Error!!FAMILIES!!Total families"
"S1101_C02_003E","Married-couple family household!!Estimate!!FAMILIES!!Total families"
"S1101_C02_003M","Married-couple family household!!Margin of Error!!FAMILIES!!Total families"
"S1101_C03_003E","Male householder, no wife present, family household!!Estimate!!FAMILIES!!Total families"
"S1101_C03_003M","Male householder, no wife present, family household!!Margin of Error!!FAMILIES!!Total families"
"S1101_C04_003E","Female householder, no husband present, family household!!Estimate!!FAMILIES!!Total families"
"S1101_C04_003M","Female householder, no husband present, family household!!Margin of Error!!FAMILIES!!Total families"
"S1101_C05_003E","Nonfamily household!!Estimate!!FAMILIES!!Total families"
"S1101_C05_003M","Nonfamily household!!Margin of Error!!FAMILIES!!Total families"
"S1101_C01_004E","Total!!Estimate!!FAMILIES!!Average family size"
"S1101_C01_004M","Total!!Margin of Error!!FAMILIES!!Average family size"
"S1101_C02_004E","Married-couple family household!!Estimate!!FAMILIES!!Average family size"
"S1101_C02_004M","Married-couple family household!!Margin of Error!!FAMILIES!!Average family size"
"S1101_C03_004E","Male householder, no wife present, family household!!Estimate!!FAMILIES!!Average family size"
"S1101_C03_004M","Male householder, no wife present, family household!!Margin of Error!!FAMILIES!!Average family size"
"S1101_C04_004E","Female householder, no husband present, family household!!Estimate!!FAMILIES!!Average family size"
"S1101_C04_004M","Female householder, no husband present, family household!!Margin of Error!!FAMILIES!!Average family size"
"S1101_C05_004E","Nonfamily household!!Estimate!!FAMILIES!!Average family size"
"S1101_C05_004M","Nonfamily household!!Margin of Error!!FAMILIES!!Average family size"
"S1101_C01_005E","Total!!Estimate!!AGE OF OWN CHILDREN!!Households with own children of the householder under 18 years"
"S1101_C01_005M","Total!!Margin of Error!!AGE OF OWN CHILDREN!!Households with own children of the householder under 18 years"
"S1101_C02_005E","Married-couple family household!!Estimate!!AGE OF OWN CHILDREN!!Households with own children of the householder under 18 years"
"S1101_C02_005M","Married-couple family household!!Margin of Error!!AGE OF OWN CHILDREN!!Households with own children of the householder under 18 years"
"S1101_C03_005E","Male householder, no wife present, family household!!Estimate!!AGE OF OWN CHILDREN!!Households with own children of the householder under 18 years"
"S1101_C03_005M","Male householder, no wife present, family household!!Margin of Error!!AGE OF OWN CHILDREN!!Households with own children of the householder under 18 years"
"S1101_C04_005E","Female householder, no husband present, family household!!Estimate!!AGE OF OWN CHILDREN!!Households with own children of the householder under 18 years"
"S1101_C04_005M","Female householder, no husband present, family household!!Margin of Error!!AGE OF OWN CHILDREN!!Households with own children of the householder under 18 years"
"S1101_C05_005E","Nonfamily household!!Estimate!!AGE OF OWN CHILDREN!!Households with own children of the householder under 18 years"
"S1101_C05_005M","Nonfamily household!!Margin of Error!!AGE OF OWN CHILDREN!!Households with own children of the householder under 18 years"
